0	0	i	j	6.88545
0	0	i	e	4.14143
0	0	i	t	6.15892
0	0	i	x	9.77582
0	0	i	z	8.18886
0	0	i	s	6.41622
0	0	h	k	5.06689
0	0	h	c	6.84221
0	0	h	n	4.49811
0	0	h	t	4.95877
0	0	h	i	5.18398
0	0	h	s	4.87479
0	0	h	v	7.32094
0	0	h	q	11.364
0	0	h	d	5.89594
0	0	h	m	4.88702
0	0	h	y	5.21126
0	0	h	x	8.9661
0	0	h	e	5.53505
0	0	h	z	6.42952
0	0	h	j	6.25201
0	0	h	f	6.45872
0	0	h	w	5.04323
0	0	h	h	0.112176
0	0	h	<sil>	5.76928
0	0	h	a	4.41798
0	0	h	p	6.08079
0	0	h	o	5.93027
0	0	h	u	5.6146
0	0	h	l	5.36011
0	0	h	g	6.26413
0	0	h	r	5.88336
0	0	h	b	6.14906
0	0	k	t	4.57457
0	0	k	n	5.35583
0	0	k	a	5.39155
0	0	k	g	5.82
0	0	k	d	6.45444
0	0	k	v	6.80861
0	0	k	y	5.81074
0	0	k	h	4.95819
0	0	k	j	6.44571
0	0	k	o	5.88237
0	0	k	s	5.09933
0	0	k	b	6.02015
0	0	k	p	5.44444
0	0	k	r	6.22082
0	0	k	e	6.03158
0	0	k	w	5.98115
0	0	k	l	5.97028
0	0	k	<sil>	5.35876
0	0	k	f	6.04897
0	0	k	q	8.55158
0	0	k	k	0.0850495
0	0	k	x	10.4975
0	0	k	z	6.23481
0	0	k	c	6.249
0	0	k	m	5.66121
0	0	k	i	5.94889
0	0	k	u	6.06667
0	0	j	<sil>	5.00395
0	0	j	j	0.10726
0	0	j	x	9.70443
0	0	j	i	4.67399
0	0	j	l	5.36062
0	0	j	m	5.96676
0	0	j	k	4.97704
0	0	j	y	5.30998
0	0	j	o	6.33713
0	0	j	f	7.40184
0	0	j	b	5.85428
0	0	j	p	6.56893
0	0	j	w	5.40036
0	0	j	s	5.62689
0	0	j	t	4.74158
0	0	j	g	5.30998
0	0	j	e	5.16113
0	0	j	q	9.01128
0	0	j	c	6.61338
0	0	j	n	4.79177
0	0	j	a	5.87579
0	0	j	d	5.48492
0	0	j	v	6.93184
0	0	j	z	5.85428
0	0	j	r	5.92024
0	0	j	h	4.8524
0	0	j	u	6.6599
0	0	m	g	6.03666
0	0	m	o	5.76558
0	0	m	d	6.27185
0	0	m	b	6.22018
0	0	m	t	5.98417
0	0	m	s	5.86134
0	0	m	u	5.19364
0	0	m	m	0.10592
0	0	m	j	6.94996
0	0	m	e	4.02215
0	0	m	x	11.1546
0	0	m	r	6.45417
0	0	m	h	4.49921
0	0	m	z	6.67731
0	0	m	y	6.01299
0	0	m	n	4.38271
0	0	m	v	7.1293
0	0	m	i	4.90275
0	0	m	k	5.73411
0	0	m	c	7.39345
0	0	m	<sil>	5.30532
0	0	m	l	5.6372
0	0	m	a	4.96024
0	0	m	w	5.7297
0	0	m	p	6.90615
0	0	m	f	7.51706
0	0	l	d	5.31097
0	0	l	m	5.02329
0	0	l	h	4.75213
0	0	l	a	5.45786
0	0	l	e	5.72466
0	0	l	i	5.71643
0	0	l	j	5.68417
0	0	l	k	4.97138
0	0	l	g	5.40246
0	0	l	c	7.22462
0	0	l	<sil>	5.21219
0	0	l	b	6.0096
0	0	l	f	7.63008
0	0	l	z	5.35567
0	0	l	r	5.19745
0	0	l	v	6.28635
0	0	l	u	6.02065
0	0	l	s	5.2526
0	0	l	w	5.43286
0	0	l	y	5.00703
0	0	l	p	6.71379
0	0	l	l	0.122455
0	0	l	o	6.46001
0	0	l	t	5.19745
0	0	l	n	3.85477
0	0	o	e	4.16776
0	0	o	l	6.80554
0	0	o	u	4.46959
0	0	o	d	7.6954
0	0	o	s	6.42418
0	0	o	r	7.00225
0	0	o	g	8.26595
0	0	o	m	5.92562
0	0	o	k	6.70376
0	0	o	f	7.88646
0	0	o	p	7.88646
0	0	o	i	4.66969
0	0	o	n	6.44887
